"","x"
"1","IGHG3"
"2","IGLC1"
"3","IGHM"
"4","CCL21"
"5","TYRP1"
"6","CTSG"
"7","FLG"
"8","SPP1"
"9","CXCL8"
"10","SPRR3"
"11","JCHAIN"
"12","GNLY"
"13","FCGBP"
"14","FLG2"
"15","CPA3"
"16","HDC"
"17","KRT1"
"18","CCL18"
"19","MMP9"
"20","IGHA1"
"21","PI16"
"22","CXCL13"
"23","IGHD"
"24","PLA2G2A"
"25","MMP3"
"26","KLK6"
"27","KPRP"
"28","ADCYAP1"
"29","LCE3D"
"30","CXCL10"
"31","CRCT1"
"32","MMP1"
"33","CHI3L1"
"34","RNASE7"
"35","SPRR2G"
"36","KLK13"
"37","HBA2"
"38","HBB"
"39","MMP12"
"40","COMP"
"41","CCL22"
"42","G0S2"
"43","SLC18A2"
"44","CMA1"
"45","PI3"
"46","CCL19"
"47","IRF8"
"48","MS4A1"
"49","ACP7"
"50","APOE"
"51","HAL"
"52","SELE"
"53","IGFBP5"
"54","IL1B"
"55","MMP13"
"56","SPRR2D"
"57","TMPRSS11B"
"58","HPGD"
"59","IGFBP3"
"60","WDFY4"
"61","IVL"
"62","CDSN"
"63","DES"
"64","KLK5"
"65","APOD"
"66","HMOX1"
"67","CD207"
"68","IL6"
"69","HIST1H1B"
"70","MS4A2"
"71","SPRR2E"
"72","KIT"
"73","PLVAP"
"74","COL4A1"
"75","KRT4"
"76","KRT6C"
"77","EGFL7"
"78","KRT10"
"79","GATA2"
"80","IL24"
"81","DHRS2"
"82","STAB1"
"83","PTGDS"
"84","LYZ"
"85","ACTA2"
"86","LTF"
"87","C3"
"88","SFRP4"
"89","MGP"
"90","WFDC12"
"91","CALML5"
"92","LCN2"
"93","CNFN"
"94","PLA2G2F"
"95","CD83"
"96","LTB"
"97","CXCL9"
"98","MYH11"
"99","VWF"
"100","TAGLN"
"101","APOBEC3A"
"102","CLEC10A"
"103","FN1"
"104","TNXB"
"105","RNASE1"
"106","COL17A1"
"107","FAM30A"
"108","AQP1"
"109","AOC1"
"110","IL36RN"
"111","MUCL1"
"112","SERPINE1"
"113","VWA5A"
"114","S100P"
"115","MMP11"
"116","CXCL5"
"117","GZMB"
"118","CXCL12"
"119","GREM1"
"120","CLU"
"121","NKD2"
"122","C1QB"
"123","KRT23"
"124","MZB1"
"125","CRNN"
"126","SPRR2F"
"127","KLK12"
"128","CEMIP"
"129","PROX1"
"130","DSC1"
"131","PLTP"
"132","TPSG1"
"133","MMP7"
"134","IL36G"
"135","MARCO"
"136","TRBC2"
"137","IL1RL1"
"138","CHIT1"
"139","DIO2"
"140","GZMA"
"141","ARG1"
"142","HRNR"
"143","F13A1"
"144","CCN2"
"145","MPEG1"
"146","CXCL3"
"147","IDO1"
"148","TGM3"
"149","CCL8"
"150","CDH5"
"151","PTGS2"
"152","FABP4"
"153","IL7R"
"154","S100A7A"
"155","TRBC1"
"156","CSF2RA"
"157","COL15A1"
"158","PAEP"
"159","CD209"
"160","NKG7"
"161","KLK7"
"162","CCL5"
"163","PROK2"
"164","ACTG2"
"165","CCDC102B"
"166","F3"
"167","CSF3R"
"168","IRF4"
"169","CXCL14"
"170","SFRP2"
"171","CCL4"
"172","CCN1"
"173","ELN"
"174","LAMP3"
"175","TMPRSS11E"
"176","CD163"
"177","COL4A2"
"178","PODXL"
"179","FLT1"
"180","MS4A7"
"181","ADAMTS9"
"182","STAB2"
"183","DEPP1"
"184","PADI1"
"185","TNC"
"186","FCER1A"
"187","OSM"
"188","EGR3"
"189","NR4A1"
"190","RPTN"
"191","ITGAX"
"192","CCL14"
"193","DERL3"
"194","SBSN"
"195","C1QC"
"196","ENG"
"197","GPRC5A"
"198","THBS1"
"199","CD300E"
"200","EREG"
"201","ITGA7"
"202","CASP14"
"203","IL1RN"
"204","ERO1A"
"205","IL1A"
"206","KLRK1"
"207","APCDD1"
"208","GZMK"
"209","MMRN1"
"210","INHBA"
"211","SLCO2A1"
"212","KRT78"
"213","XCR1"
"214","TRAC"
"215","CEACAM5"
"216","CD14"
"217","C1QA"
"218","LGMN"
"219","SIGLEC6"
"220","PLIN4"
"221","SERPINB2"
"222","KRT75"
"223","CCL3"
"224","TRDC"
"225","TFPI2"
"226","RGS13"
"227","PI15"
"228","SEMA3G"
"229","THBS4"
"230","FLT4"
"231","IL12B"
"232","FGF7"
"233","GJA5"
"234","TIMP3"
"235","CLDN5"
"236","MCAM"
"237","LIF"
"238","CD93"
"239","ADAMTS1"
"240","IL4I1"
"241","CCL17"
"242","PDGFB"
"243","LILRA4"
"244","CCR7"
"245","LCN10"
"246","SLC40A1"
"247","CD8A"
"248","FOXP3"
"249","NRXN1"
"250","CCL24"
"251","PTP4A3"
"252","CXCL11"
"253","HBD"
