K,gep,n_rival_cells,chief_rival,rival_edge_weight
35,1,15960,5,-0.004574942059552925
35,2,2076,16,-0.00032349805963094084
35,3,1563,16,-0.0001804418713072183
35,4,690,29,-0.00014479291136669026
35,5,2726,1,-0.007966013196587966
35,6,313,8,-0.0019452311331379765
35,7,97,14,-0.011267487296798254
35,8,90,2,-0.016142131851369586
35,9,144,13,-0.07592608416019962
35,10,35,16,-0.0061292103661456
35,11,668,15,-0.01833318122922379
35,12,195,11,-0.002534711511074976
35,13,198,9,-0.06264735062129818
35,14,93,7,-0.009107681039393793
35,15,602,11,-0.013428171721480522
35,16,308,1,-0.0073849787809422964
35,17,16,5,-0.011572315643840429
35,18,531,1,-0.05012835834932139
35,19,9,,
35,20,28,3,-0.005611702925209265
35,21,8,,
35,22,5,,
35,23,1,,
35,24,2,,
35,25,3,,
35,26,1,,
35,27,1,,
35,28,2,,
35,29,4,,
35,30,0,,
35,31,7,,
35,32,1,,
35,33,2,,
35,34,1,,
35,35,0,,
