lineage_id,n_nodes,k_min,k_max,k_span,consecutive_span,dominant_celltype,celltype_purity
2,595,3,35,33,33,Ambiguous/Mixed,0.711
0,7,3,9,7,7,Ambiguous/Mixed,0.571
7,4,30,33,4,4,Ambiguous/Mixed,1.0
1,3,3,5,3,3,Ambiguous/Mixed,1.0
8,4,30,32,3,3,Ambiguous/Mixed,1.0
4,3,25,27,3,3,Ambiguous/Mixed,1.0
5,1,27,27,1,1,Ambiguous/Mixed,1.0
6,1,27,27,1,1,Ambiguous/Mixed,1.0
3,1,11,11,1,1,Ambiguous/Mixed,1.0
9,1,30,30,1,1,Ambiguous/Mixed,1.0
10,1,30,30,1,1,Ambiguous/Mixed,1.0
11,1,32,32,1,1,Ambiguous/Mixed,1.0
12,1,32,32,1,1,Ambiguous/Mixed,1.0
13,1,34,34,1,1,Ambiguous/Mixed,1.0
14,1,34,34,1,1,Ambiguous/Mixed,1.0
15,1,35,35,1,1,Ambiguous/Mixed,1.0
16,1,35,35,1,1,Ambiguous/Mixed,1.0
