K,Ambiguous/Mixed,DC_family,DC_pDC,Mac_IL1B,Mac_SPP1,Macrophage_family,Mast,Mono_CD14_ID1,Mono_CD16,Monocyte_family,cDC2_CD33
3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
9,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
10,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
11,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
12,4.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
13,4.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0
14,6.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
15,8.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
16,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,14.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,14.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20,12.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
21,13.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
22,13.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
23,13.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0
24,16.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
25,21.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,22.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
27,23.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
28,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,26.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
30,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,24.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
32,29.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,28.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,26.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
35,28.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
