sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138110,30,1,Ambiguous/Mixed,ambiguous,0.9128529021709721,614
GSM4138110,30,2,Ambiguous/Mixed,ambiguous,0.9635928608526481,152
GSM4138110,30,6,Ambiguous/Mixed,ambiguous,0.975524986501452,25
GSM4138111,30,1,Ambiguous/Mixed,ambiguous,0.7138877368279679,249
GSM4138111,30,2,Ambiguous/Mixed,ambiguous,0.7024315194836697,111
GSM4138111,30,5,Ambiguous/Mixed,ambiguous,0.9794197439631738,20
GSM4138111,30,6,Ambiguous/Mixed,ambiguous,0.7903704035727093,79
GSM4138112,30,1,Ambiguous/Mixed,ambiguous,0.8960428801070954,349
GSM4138112,30,2,Ambiguous/Mixed,ambiguous,0.906676124761512,55
GSM4138112,30,6,Ambiguous/Mixed,ambiguous,1.0,17
GSM4138112,30,8,Ambiguous/Mixed,ambiguous,0.9467504769938385,18
GSM4138113,30,1,Ambiguous/Mixed,ambiguous,0.7709110815300537,109
GSM4138113,30,2,Ambiguous/Mixed,ambiguous,0.9221278261298278,39
GSM4138113,30,6,Ambiguous/Mixed,ambiguous,0.8893352747960908,44
GSM4138114,30,1,Ambiguous/Mixed,ambiguous,0.8757082277454413,342
GSM4138114,30,2,Ambiguous/Mixed,ambiguous,0.9249969605855891,61
GSM4138115,30,1,Ambiguous/Mixed,ambiguous,0.7990479758033205,115
GSM4138115,30,12,Ambiguous/Mixed,ambiguous,0.9312752029366247,17
GSM4138115,30,2,Ambiguous/Mixed,ambiguous,0.8885900161779539,42
GSM4138115,30,6,Ambiguous/Mixed,ambiguous,0.9281039802883317,32
GSM4138116,30,1,Ambiguous/Mixed,ambiguous,0.9216459457476527,700
GSM4138116,30,2,Ambiguous/Mixed,ambiguous,0.9485039791850852,173
GSM4138117,30,1,Ambiguous/Mixed,ambiguous,0.7272492300458375,307
GSM4138117,30,2,Ambiguous/Mixed,ambiguous,0.8029807746522961,82
GSM4138118,30,1,Ambiguous/Mixed,ambiguous,0.8769329267017075,292
GSM4138118,30,2,Ambiguous/Mixed,ambiguous,0.9251388628844727,37
GSM4138119,30,1,Ambiguous/Mixed,ambiguous,0.6350685958918247,101
GSM4138119,30,2,Ambiguous/Mixed,ambiguous,0.8448467029462757,35
GSM4138120,30,1,Ambiguous/Mixed,ambiguous,0.8461834568583182,611
GSM4138120,30,2,Ambiguous/Mixed,ambiguous,0.9581932088604324,59
GSM4138121,30,1,Ambiguous/Mixed,ambiguous,0.6592874406567462,149
GSM4138121,30,2,Ambiguous/Mixed,ambiguous,0.7305175427270096,75
GSM4138121,30,6,Ambiguous/Mixed,ambiguous,0.7554590126139149,38
GSM4138122,30,1,Ambiguous/Mixed,ambiguous,0.8877026967787264,526
GSM4138122,30,2,Ambiguous/Mixed,ambiguous,0.9379754947132186,86
GSM4138122,30,6,Ambiguous/Mixed,ambiguous,0.9766567780621171,25
GSM4138123,30,1,Ambiguous/Mixed,ambiguous,0.6812940916486001,588
GSM4138123,30,12,Ambiguous/Mixed,ambiguous,0.9753491120626139,17
GSM4138123,30,2,Ambiguous/Mixed,ambiguous,0.6803713869119624,243
GSM4138123,30,6,Ambiguous/Mixed,ambiguous,0.878096459793353,46
GSM4138124,30,1,Ambiguous/Mixed,ambiguous,0.9153146822946944,331
GSM4138124,30,2,Ambiguous/Mixed,ambiguous,0.9654881538494395,68
GSM4138125,30,1,Ambiguous/Mixed,ambiguous,0.706552216008508,501
GSM4138125,30,2,Ambiguous/Mixed,ambiguous,0.760514218281374,171
GSM4138126,30,1,Ambiguous/Mixed,ambiguous,0.9531767158541553,726
GSM4138126,30,2,Ambiguous/Mixed,ambiguous,0.9725954903084509,154
GSM4138126,30,6,Ambiguous/Mixed,ambiguous,0.9808261221169359,20
GSM4138127,30,1,Ambiguous/Mixed,ambiguous,0.7303471569476219,344
GSM4138127,30,12,Ambiguous/Mixed,ambiguous,0.9750794953801577,17
GSM4138127,30,2,Ambiguous/Mixed,ambiguous,0.7214184683476879,205
GSM4138127,30,6,Ambiguous/Mixed,ambiguous,0.847889606173384,66
GSM4138127,30,8,Ambiguous/Mixed,ambiguous,0.9615934013570567,19
GSM4138128,30,1,Ambiguous/Mixed,ambiguous,0.8877026967787264,526
GSM4138128,30,2,Ambiguous/Mixed,ambiguous,0.9379754947132186,86
GSM4138128,30,6,Ambiguous/Mixed,ambiguous,0.9766567780621171,25
GSM4138129,30,1,Ambiguous/Mixed,ambiguous,0.7229238811303595,214
GSM4138129,30,2,Ambiguous/Mixed,ambiguous,0.8511314993934602,79
GSM4138129,30,6,Ambiguous/Mixed,ambiguous,0.9531459003610504,31
GSM4138130,30,1,Ambiguous/Mixed,ambiguous,0.9156966266393884,564
GSM4138130,30,2,Ambiguous/Mixed,ambiguous,0.9345524802106814,126
GSM4138130,30,6,Ambiguous/Mixed,ambiguous,1.0,17
GSM4138130,30,8,Ambiguous/Mixed,ambiguous,0.9702606290432547,19
GSM4138131,30,1,Ambiguous/Mixed,ambiguous,0.7138840109698307,521
GSM4138131,30,12,Ambiguous/Mixed,ambiguous,0.8994856292707715,22
GSM4138131,30,2,Ambiguous/Mixed,ambiguous,0.6981263234675416,266
GSM4138131,30,5,Ambiguous/Mixed,ambiguous,0.9564196483172959,19
GSM4138131,30,6,Ambiguous/Mixed,ambiguous,0.7715064726424702,159
GSM4138131,30,8,Ambiguous/Mixed,ambiguous,0.8774688313192109,32
GSM4138132,30,1,Ambiguous/Mixed,ambiguous,0.9333960024173231,616
GSM4138132,30,2,Ambiguous/Mixed,ambiguous,0.9739569671746324,147
GSM4138132,30,6,Ambiguous/Mixed,ambiguous,1.0,17
GSM4138133,30,1,Ambiguous/Mixed,ambiguous,0.7634984664150247,231
GSM4138133,30,12,Ambiguous/Mixed,ambiguous,0.86690518462281,21
GSM4138133,30,2,Ambiguous/Mixed,ambiguous,0.788365687534147,115
GSM4138133,30,6,Ambiguous/Mixed,ambiguous,0.9402509544514978,40
GSM4138134,30,1,Ambiguous/Mixed,ambiguous,0.9548119146511687,1180
GSM4138134,30,2,Ambiguous/Mixed,ambiguous,0.9703975865878743,274
GSM4138134,30,6,Ambiguous/Mixed,ambiguous,0.9767792572946252,23
GSM4138134,30,8,Ambiguous/Mixed,ambiguous,0.9713916127319313,18
GSM4138135,30,1,Ambiguous/Mixed,ambiguous,0.6903670334378423,711
GSM4138135,30,12,Ambiguous/Mixed,ambiguous,0.9415942197163863,29
GSM4138135,30,2,Ambiguous/Mixed,ambiguous,0.6988538077565132,336
GSM4138135,30,4,Ambiguous/Mixed,ambiguous,0.976659302988496,18
GSM4138135,30,5,Ambiguous/Mixed,ambiguous,1.0,19
GSM4138135,30,6,Ambiguous/Mixed,ambiguous,0.9502666563939225,30
GSM4138135,30,8,Ambiguous/Mixed,ambiguous,0.8854952886158274,41
GSM4138136,30,1,Ambiguous/Mixed,ambiguous,0.9003481845830867,620
GSM4138136,30,2,Ambiguous/Mixed,ambiguous,0.9462865184174695,171
GSM4138137,30,1,Ambiguous/Mixed,ambiguous,0.7579281029082234,580
GSM4138137,30,12,Ambiguous/Mixed,ambiguous,0.872363148729582,37
GSM4138137,30,2,Ambiguous/Mixed,ambiguous,0.7401081631607088,282
GSM4138137,30,6,Ambiguous/Mixed,ambiguous,0.9419697883699046,44
GSM4138137,30,8,Ambiguous/Mixed,ambiguous,0.9098938360258452,47
GSM4138138,30,1,Ambiguous/Mixed,ambiguous,0.8842340025937718,565
GSM4138138,30,2,Ambiguous/Mixed,ambiguous,0.9400799993101254,126
GSM4138139,30,1,Ambiguous/Mixed,ambiguous,0.6490247529724541,516
GSM4138139,30,2,Ambiguous/Mixed,ambiguous,0.660854021845399,264
GSM4138139,30,4,Ambiguous/Mixed,ambiguous,0.9724752340066233,15
GSM4138139,30,5,Ambiguous/Mixed,ambiguous,0.9399374774330178,45
GSM4138139,30,6,Ambiguous/Mixed,ambiguous,0.8838457662091449,42
GSM4138139,30,7,Ambiguous/Mixed,ambiguous,0.9740832337173592,24
GSM4138140,30,1,Ambiguous/Mixed,ambiguous,0.9109551780132216,681
GSM4138140,30,2,Ambiguous/Mixed,ambiguous,0.9518861027440312,134
GSM4138141,30,1,Ambiguous/Mixed,ambiguous,0.7239411271598858,480
GSM4138141,30,12,Ambiguous/Mixed,ambiguous,0.9601646456146767,18
GSM4138141,30,2,Ambiguous/Mixed,ambiguous,0.735525589111899,154
GSM4138141,30,6,Ambiguous/Mixed,ambiguous,0.8062348829546113,119
GSM4138142,30,1,Ambiguous/Mixed,ambiguous,0.9080369755655548,676
GSM4138142,30,2,Ambiguous/Mixed,ambiguous,0.9639890058115528,151
GSM4138143,30,1,Ambiguous/Mixed,ambiguous,0.717298284678333,289
