GEP_1,GEP_2,K_1,K_2,Correlation,Cross_K
k5_GEP4,k6_GEP3,5,6,0.9998883065721957,True
k5_GEP1,k6_GEP1,5,6,0.999791082965416,True
k6_GEP1,k7_GEP1,6,7,0.999430304362115,True
k5_GEP5,k6_GEP6,5,6,0.9994232698130311,True
k5_GEP1,k7_GEP1,5,7,0.9992141213100769,True
k6_GEP4,k7_GEP4,6,7,0.9992081769903218,True
k6_GEP2,k7_GEP2,6,7,0.9990606264122167,True
k7_GEP1,k8_GEP1,7,8,0.9982092071511789,True
k6_GEP3,k7_GEP3,6,7,0.9980824850794919,True
k5_GEP4,k7_GEP3,5,7,0.9979111520733107,True
k5_GEP2,k8_GEP2,5,8,0.997798299778526,True
k5_GEP1,k8_GEP1,5,8,0.9974324494164007,True
k6_GEP1,k8_GEP1,6,8,0.9973003237927703,True
k6_GEP5,k7_GEP5,6,7,0.9962094382869254,True
k5_GEP2,k6_GEP2,5,6,0.9926157250280371,True
k7_GEP2,k8_GEP2,7,8,0.9915887988922641,True
k5_GEP2,k7_GEP2,5,7,0.9915811605504031,True
k6_GEP2,k8_GEP2,6,8,0.991495810079037,True
k5_GEP4,k8_GEP4,5,8,0.9872648247174902,True
k6_GEP3,k8_GEP4,6,8,0.9870993476726314,True
k7_GEP3,k8_GEP4,7,8,0.9823769971535949,True
k7_GEP4,k8_GEP3,7,8,0.9721758517836678,True
k6_GEP4,k8_GEP3,6,8,0.9716645633719164,True
k5_GEP3,k8_GEP3,5,8,0.9624882857089362,True
k5_GEP3,k6_GEP4,5,6,0.8882837068061177,True
k5_GEP3,k7_GEP4,5,7,0.8874199432412037,True
k7_GEP6,k8_GEP5,7,8,0.830717850811355,True
k6_GEP6,k7_GEP6,6,7,0.7345702068574355,True
k5_GEP5,k7_GEP6,5,7,0.7301457572775936,True
